index,reward
477,-11.742978297507822
478,-11.322833722682716
479,-13.363953257898336
480,-11.68473046051159
481,-12.585591579255755
482,-12.070458624848106
483,-11.918272707106219
484,-14.408428995176758
485,-14.14954145744957
486,-10.25194341954613
487,-12.803005419728514
488,-15.329968156383273
489,-12.968992994013934
490,-13.10730184434504
491,-12.789315541239771
492,-14.001201357642675
493,-11.640907219572705
494,-13.345251443047049
495,-10.602380010460447
496,-14.785661880770194
497,-16.716988297653494
498,-11.677027969935798
499,-11.509737497738811
500,-13.969718222715265
501,-14.584306620881092
502,-11.95129016344897
503,-11.82642207993661
504,-12.36548934247771
505,-14.900714208368809
506,-10.365070274417311
507,-11.908591911738588
508,-14.678486060261092
509,-11.850757831877038
510,-13.01693606245778
511,-9.763779828679516
512,-15.4141335104817
513,-12.402936408588422
514,-13.261630014178682
515,-14.506578069979708
516,-12.913592171980648
517,-13.340700190790127
518,-13.190057586952637
519,-11.765518526883195
520,-11.473534809884935
521,-13.51152581050067
522,-14.813670121955212
523,-11.46225546560189
524,-13.068085224404367
525,-11.62107206336139
526,-11.318027636310363
527,-14.149254898519626
528,-14.343890903582652
529,-13.420738086110495
530,-12.767044860597952
531,-13.34479754818773
532,-10.552191628728606
533,-14.796786303881031
534,-11.533585374493137
535,-13.536362512083937
536,-13.056591675991628
537,-13.064056921667145
538,-12.695161525028603
539,-13.267591230813077
540,-10.881967489815796
541,-12.657809607319404
542,-12.685655319912168
543,-10.801090395773173
544,-9.853808618094648
545,-11.817973700503847
546,-9.966636813084907
547,-14.018742553442975
548,-14.023447051684137
549,-11.650287294235408
550,-10.127484644134569
551,-12.589127519304917
552,-14.16430913960154
553,-12.777865358276728
554,-13.105590597774244
555,-12.701911575791765
556,-10.07506584505092
557,-13.23223072616733
558,-10.855441610446617
559,-13.467775362924012
560,-12.191220874180992
561,-13.959273573286714
562,-13.121686539797519
563,-13.710205412714691
564,-13.458049913148963
565,-11.299448572909348
566,-13.443403560127265
567,-12.754234729774344
568,-11.833512248993687
569,-10.570692055695785
570,-11.867331099434818
571,-12.267533928895057
572,-12.454641380211791
573,-10.852853397762745
574,-13.16937814232159
575,-13.440351893272956
576,-12.391301321601777
577,-13.852667201214446
578,-11.752497178818276
579,-14.47232077472618
580,-11.134231450575596
581,-10.418570043752384
582,-11.077629779742074
583,-14.648594494256624
584,-14.830103709371814
585,-13.054791021272933
586,-12.782277188751454
587,-10.876311743590044
588,-11.238135057354206
589,-13.079381582016817
590,-12.916092604581173
591,-12.111356916392653
592,-15.320390209129988
593,-9.538867686636065
594,-12.056152092396855
595,-11.732512352210156
596,-11.780175649281974
597,-10.993651218998831
598,-14.411563963822532
599,-14.193083047511667
600,-12.496624465287702
601,-12.26141735171552
602,-9.326910649015405
603,-13.596948217486196
604,-13.5725412154224
605,-12.143037763604976
606,-11.101083383450721
607,-12.359961344044823
608,-11.830036823162063
609,-11.123806289623847
610,-12.942217518844805
611,-11.817356347472797
612,-12.6462755232252
613,-15.172608255792078
614,-14.182240585849092
615,-14.24629367577197
616,-13.666034631138778
617,-13.654950934816132
618,-15.828287057528593
619,-12.485354862697607
620,-9.149090581501287
621,-10.901220423264363
622,-10.564019918212733
623,-10.973405125445378
624,-11.252271240749453
625,-13.664836539109105
626,-13.534645848365038
627,-11.523711889424204
628,-13.390477524026467
629,-11.86494399794741
630,-12.021390057837996
631,-12.223773558538694
632,-13.369750070598752
633,-11.400529290152273
634,-12.471211267127508
635,-13.11839583880987
636,-12.330950473594278
637,-12.524266305108277
638,-13.363132059373386
639,-13.958882838173912
640,-12.388038922141197
641,-9.621569015191929
642,-12.042870850552113
643,-12.771401894144418
644,-11.78525810338983
645,-13.136964733016907
646,-13.519982459938301
